BRANCH_NAME,FREEZE_DT,CUSTOMER_CLASS,year,month,day,Amount,Accounts,Main_Branch
أبو عريش,2/5/2023,RES,2023,2,5,7786.18,46,Abu Arish
أبو عريش,2/6/2023,COM,2023,2,6,4312.48,4,Abu Arish
أبو عريش,2/6/2023,RES,2023,2,6,15215.75,54,Abu Arish
أبو عريش,2/7/2023,COM,2023,2,7,923.41,1,Abu Arish
أبو عريش,2/7/2023,RES,2023,2,7,9525.1,44,Abu Arish
أبو عريش,2/8/2023,COM,2023,2,8,39.01,1,Abu Arish
أبو عريش,2/8/2023,RES,2023,2,8,5528.03,33,Abu Arish
أبو عريش,2/9/2023,RES,2023,2,9,19834.34,74,Abu Arish
أبو عريش,2/10/2023,COM,2023,2,10,57.82,4,Abu Arish
أبو عريش,2/10/2023,RES,2023,2,10,21977.88,350,Abu Arish
أبو عريش,2/11/2023,COM,2023,2,11,2548.22,14,Abu Arish
أبو عريش,2/11/2023,RES,2023,2,11,21449.81,368,Abu Arish
أبو عريش,2/12/2023,COM,2023,2,12,1540.24,3,Abu Arish
أبو عريش,2/12/2023,RES,2023,2,12,19292.34,218,Abu Arish
أبو عريش,2/13/2023,COM,2023,2,13,248.56,5,Abu Arish
أبو عريش,2/13/2023,RES,2023,2,13,13439.73,197,Abu Arish
أبو عريش,2/14/2023,COM,2023,2,14,4453.18,4,Abu Arish
أبو عريش,2/14/2023,RES,2023,2,14,17780.82,127,Abu Arish
أبو عريش,2/15/2023,COM,2023,2,15,6.44,1,Abu Arish
أبو عريش,2/15/2023,RES,2023,2,15,15287.89,104,Abu Arish
أبو عريش,2/16/2023,COM,2023,2,16,136.65,1,Abu Arish
أبو عريش,2/16/2023,RES,2023,2,16,10868.33,84,Abu Arish
أبو عريش,2/17/2023,COM,2023,2,17,7.64,1,Abu Arish
أبو عريش,2/17/2023,RES,2023,2,17,3846.8,61,Abu Arish
أبو عريش,2/18/2023,COM,2023,2,18,568.9,3,Abu Arish
أبو عريش,2/18/2023,RES,2023,2,18,6897.13,69,Abu Arish
أبو عريش,2/19/2023,COM,2023,2,19,307.24,3,Abu Arish
أبو عريش,2/19/2023,RES,2023,2,19,3015.11,42,Abu Arish
أبو عريش,2/20/2023,RES,2023,2,20,18540.31,64,Abu Arish
أبو عريش,2/21/2023,COM,2023,2,21,3573.12,3,Abu Arish
أبو عريش,2/21/2023,RES,2023,2,21,38283.89,90,Abu Arish
أبو عريش,2/22/2023,RES,2023,2,22,4383,51,Abu Arish
أبو عريش,2/23/2023,RES,2023,2,23,1598.07,37,Abu Arish
أبو عريش,2/24/2023,COM,2023,2,24,12.85,1,Abu Arish
أبو عريش,2/24/2023,RES,2023,2,24,6231.64,31,Abu Arish
أبو عريش,2/25/2023,COM,2023,2,25,2729.56,1,Abu Arish
أبو عريش,2/25/2023,RES,2023,2,25,4442.5,53,Abu Arish
أبو عريش,2/26/2023,COM,2023,2,26,247.43,3,Abu Arish
أبو عريش,2/26/2023,RES,2023,2,26,32541,484,Abu Arish
أبو عريش,2/26/2023,TANKER,2023,2,26,39125.79,1,Abu Arish
أبو عريش,2/27/2023,COM,2023,2,27,189.06,2,Abu Arish
أبو عريش,2/27/2023,GOVT,2023,2,27,7.28,1,Abu Arish
أبو عريش,2/27/2023,RES,2023,2,27,82096.04,1110,Abu Arish
أبو عريش,2/28/2023,COM,2023,2,28,222.08,2,Abu Arish
أبو عريش,2/28/2023,RES,2023,2,28,35304.03,288,Abu Arish
أبو عريش,3/1/2023,COM,2023,3,1,23.6,1,Abu Arish
أبو عريش,3/1/2023,RES,2023,3,1,24870.25,235,Abu Arish
أبو عريش,3/2/2023,COM,2023,3,2,291.41,3,Abu Arish
أبو عريش,3/2/2023,GOVT,2023,3,2,249959.61,42,Abu Arish
أبو عريش,3/2/2023,RES,2023,3,2,44382.19,141,Abu Arish
أبو عريش,3/3/2023,RES,2023,3,3,11066.22,111,Abu Arish
أبو عريش,3/4/2023,COM,2023,3,4,121.97,1,Abu Arish
أبو عريش,3/4/2023,RES,2023,3,4,5972.08,54,Abu Arish
أبو عريش,3/5/2023,COM,2023,3,5,1839.83,2,Abu Arish
أبو عريش,3/5/2023,GOVT,2023,3,5,206938.98,31,Abu Arish
أبو عريش,3/5/2023,RES,2023,3,5,20816.75,65,Abu Arish
أبو عريش,3/6/2023,COM,2023,3,6,858.74,2,Abu Arish
أبو عريش,3/6/2023,RES,2023,3,6,7455.18,52,Abu Arish
أبو عريش,3/7/2023,COM,2023,3,7,457.99,1,Abu Arish
أبو عريش,3/7/2023,GOVT,2023,3,7,24467.22,129,Abu Arish
أبو عريش,3/7/2023,RES,2023,3,7,8794.89,47,Abu Arish
أبو عريش,3/8/2023,COM,2023,3,8,17.45,1,Abu Arish
أبو عريش,3/8/2023,RES,2023,3,8,5040.7,35,Abu Arish
أبو عريش,3/9/2023,COM,2023,3,9,390.1,1,Abu Arish
أبو عريش,3/9/2023,RES,2023,3,9,16076.76,77,Abu Arish
أبو عريش,3/10/2023,COM,2023,3,10,18.97,2,Abu Arish
أبو عريش,3/10/2023,RES,2023,3,10,3808.92,30,Abu Arish
أبو عريش,3/11/2023,RES,2023,3,11,4793.94,17,Abu Arish
أبو عريش,3/12/2023,RES,2023,3,12,4229.36,22,Abu Arish
أبو عريش,3/13/2023,COM,2023,3,13,431.15,1,Abu Arish
أبو عريش,3/13/2023,RES,2023,3,13,8177.39,34,Abu Arish
أبو عريش,3/14/2023,COM,2023,3,14,20.06,1,Abu Arish
أبو عريش,3/14/2023,RES,2023,3,14,14153.69,44,Abu Arish
أبو عريش,3/15/2023,COM,2023,3,15,324.87,3,Abu Arish
أبو عريش,3/15/2023,RES,2023,3,15,24587.07,361,Abu Arish
أبو عريش,3/16/2023,COM,2023,3,16,2811.59,4,Abu Arish
أبو عريش,3/16/2023,RES,2023,3,16,31197.57,302,Abu Arish
أبو عريش,3/17/2023,COM,2023,3,17,1593.15,5,Abu Arish
أبو عريش,3/17/2023,RES,2023,3,17,10014.35,149,Abu Arish
أبو عريش,3/18/2023,RES,2023,3,18,12297.08,113,Abu Arish
أبو عريش,3/19/2023,COM,2023,3,19,52.49,1,Abu Arish
أبو عريش,3/19/2023,RES,2023,3,19,34006.08,116,Abu Arish
أبو عريش,3/20/2023,COM,2023,3,20,1268.88,5,Abu Arish
أبو عريش,3/20/2023,RES,2023,3,20,15977,112,Abu Arish
أبو عريش,3/21/2023,COM,2023,3,21,2217.4,2,Abu Arish
أبو عريش,3/21/2023,RES,2023,3,21,33693.3,70,Abu Arish
أبو عريش,3/22/2023,COM,2023,3,22,677.01,1,Abu Arish
أبو عريش,3/22/2023,RES,2023,3,22,11177.03,48,Abu Arish
أبو عريش,3/23/2023,COM,2023,3,23,6.22,1,Abu Arish
أبو عريش,3/23/2023,RES,2023,3,23,13022.11,76,Abu Arish
أبو عريش,3/24/2023,RES,2023,3,24,1727.82,56,Abu Arish
أبو عريش,3/25/2023,COM,2023,3,25,6.98,1,Abu Arish
أبو عريش,3/25/2023,RES,2023,3,25,10106.86,65,Abu Arish
أبو عريش,3/26/2023,COM,2023,3,26,254.58,6,Abu Arish
أبو عريش,3/26/2023,RES,2023,3,26,41255.31,606,Abu Arish
أبو عريش,3/27/2023,COM,2023,3,27,349.58,5,Abu Arish
أبو عريش,3/27/2023,RES,2023,3,27,54595.44,862,Abu Arish
أبو عريش,3/28/2023,COM,2023,3,28,461.44,3,Abu Arish
أبو عريش,3/28/2023,RES,2023,3,28,60773.75,684,Abu Arish
أبو عريش,3/29/2023,COM,2023,3,29,127.8,1,Abu Arish
أبو عريش,3/29/2023,RES,2023,3,29,37009.76,180,Abu Arish
أبو عريش,3/30/2023,RES,2023,3,30,12722.08,124,Abu Arish
أبو عريش,3/31/2023,COM,2023,3,31,1819.02,1,Abu Arish
أبو عريش,3/31/2023,RES,2023,3,31,12450.52,95,Abu Arish
أبو عريش,4/1/2023,COM,2023,4,1,736.24,2,Abu Arish
أبو عريش,4/1/2023,RES,2023,4,1,8429.54,66,Abu Arish
أبو عريش,4/2/2023,COM,2023,4,2,858.02,5,Abu Arish
أبو عريش,4/2/2023,RES,2023,4,2,31659.61,139,Abu Arish
أبو عريش,4/3/2023,COM,2023,4,3,7.28,1,Abu Arish
أبو عريش,4/3/2023,RES,2023,4,3,15538.17,91,Abu Arish
أبو عريش,4/4/2023,COM,2023,4,4,7.28,1,Abu Arish
أبو عريش,4/4/2023,RES,2023,4,4,8725.09,56,Abu Arish
أبو عريش,4/5/2023,RES,2023,4,5,6392.42,62,Abu Arish
أبو عريش,4/6/2023,COM,2023,4,6,25.71,1,Abu Arish
أبو عريش,4/6/2023,RES,2023,4,6,10304.16,61,Abu Arish
أبو عريش,4/7/2023,COM,2023,4,7,123.7,2,Abu Arish
أبو عريش,4/7/2023,RES,2023,4,7,10059.68,32,Abu Arish
أبو عريش,4/8/2023,COM,2023,4,8,1442.97,2,Abu Arish
أبو عريش,4/8/2023,RES,2023,4,8,9312.19,43,Abu Arish
أبو عريش,4/9/2023,COM,2023,4,9,405.45,2,Abu Arish
أبو عريش,4/9/2023,RES,2023,4,9,12262.56,33,Abu Arish
أبو عريش,4/10/2023,COM,2023,4,10,47.41,2,Abu Arish
أبو عريش,4/10/2023,RES,2023,4,10,28079.6,235,Abu Arish
أبو عريش,4/11/2023,COM,2023,4,11,1711.96,5,Abu Arish
أبو عريش,4/11/2023,RES,2023,4,11,38656.38,471,Abu Arish
أبو عريش,4/12/2023,COM,2023,4,12,580.49,3,Abu Arish
أبو عريش,4/12/2023,RES,2023,4,12,19635.28,212,Abu Arish
أبو عريش,4/13/2023,COM,2023,4,13,250.77,5,Abu Arish
أبو عريش,4/13/2023,RES,2023,4,13,16266.91,181,Abu Arish
أبو عريش,4/14/2023,COM,2023,4,14,11.47,1,Abu Arish
أبو عريش,4/14/2023,RES,2023,4,14,13621.63,141,Abu Arish
